,CV,time,AHT,time24,hour,day,lasthr01
252,312,2018-05-17 16:30:00,643.1314102564103,16:30:00,16,3,1
253,245,2018-05-17 17:30:00,649.065306122449,17:30:00,17,3,1
254,145,2018-05-17 18:00:00,722.648275862069,18:00:00,18,3,1
255,94,2018-05-17 18:30:00,514.8510638297872,18:30:00,18,3,1
256,3,2018-05-17 19:00:00,262.0,19:00:00,19,3,0
257,3,2018-05-17 19:30:00,131.0,19:30:00,19,3,0
258,108,2018-05-18 07:30:00,519.4629629629629,07:30:00,7,4,1
259,200,2018-05-18 08:00:00,601.005,08:00:00,8,4,1
260,246,2018-05-18 08:30:00,543.3739837398374,08:30:00,8,4,1
261,384,2018-05-18 09:00:00,628.4453125,09:00:00,9,4,1
262,377,2018-05-18 09:30:00,624.4960212201592,09:30:00,9,4,1
263,407,2018-05-18 10:00:00,689.2874692874693,10:00:00,10,4,1
264,396,2018-05-18 10:30:00,635.0656565656566,10:30:00,10,4,1
265,428,2018-05-18 11:30:00,642.6635514018692,11:30:00,11,4,1
266,407,2018-05-18 12:00:00,670.8648648648649,12:00:00,12,4,1
267,408,2018-05-18 12:30:00,623.75,12:30:00,12,4,1
268,378,2018-05-18 13:30:00,612.5529100529101,13:30:00,13,4,1
269,413,2018-05-18 14:30:00,679.9031476997578,14:30:00,14,4,1
270,428,2018-05-18 15:00:00,658.2663551401869,15:00:00,15,4,1
271,322,2018-05-18 15:30:00,596.5186335403727,15:30:00,15,4,1
272,226,2018-05-18 16:30:00,701.0442477876106,16:30:00,16,4,1
273,196,2018-05-18 17:30:00,643.9336734693877,17:30:00,17,4,1
274,105,2018-05-18 18:00:00,514.047619047619,18:00:00,18,4,1
275,96,2018-05-18 18:30:00,442.03125,18:30:00,18,4,1
276,2,2018-05-18 19:00:00,65.0,19:00:00,19,4,0
277,129,2018-05-21 07:30:00,525.2248062015503,07:30:00,7,0,1
278,299,2018-05-21 08:00:00,546.38127090301,08:00:00,8,0,1
279,303,2018-05-21 08:30:00,697.8382838283828,08:30:00,8,0,1
280,465,2018-05-21 09:00:00,693.1096774193549,09:00:00,9,0,1
281,507,2018-05-21 09:30:00,668.7140039447731,09:30:00,9,0,1
282,556,2018-05-21 10:00:00,633.6942446043165,10:00:00,10,0,1
283,557,2018-05-21 10:30:00,647.7235188509875,10:30:00,10,0,1
284,410,2018-05-21 11:30:00,662.8219512195122,11:30:00,11,0,1
285,568,2018-05-21 12:00:00,657.5228873239437,12:00:00,12,0,1
286,565,2018-05-21 12:30:00,712.7238938053098,12:30:00,12,0,1
287,493,2018-05-21 13:30:00,646.2758620689655,13:30:00,13,0,1
288,562,2018-05-21 14:30:00,631.923487544484,14:30:00,14,0,1
289,586,2018-05-21 15:00:00,612.4402730375426,15:00:00,15,0,1
290,497,2018-05-21 15:30:00,711.3762575452716,15:30:00,15,0,1
291,415,2018-05-21 16:30:00,667.6168674698795,16:30:00,16,0,1
292,346,2018-05-21 17:30:00,652.7601156069364,17:30:00,17,0,1
293,174,2018-05-21 18:00:00,580.4022988505748,18:00:00,18,0,1
294,138,2018-05-21 18:30:00,458.09420289855075,18:30:00,18,0,1
295,7,2018-05-21 19:00:00,672.5714285714286,19:00:00,19,0,0
296,4,2018-05-21 19:30:00,305.5,19:30:00,19,0,0
297,121,2018-05-22 07:30:00,477.20661157024796,07:30:00,7,1,1
298,235,2018-05-22 08:00:00,549.2808510638298,08:00:00,8,1,1
299,260,2018-05-22 08:30:00,589.2961538461539,08:30:00,8,1,1
300,421,2018-05-22 09:00:00,672.5344418052257,09:00:00,9,1,1
301,400,2018-05-22 09:30:00,642.425,09:30:00,9,1,1
302,442,2018-05-22 10:00:00,648.3574660633484,10:00:00,10,1,1
